Course No.,Course Title,Description,Attributes1,Attributes2,Autumn '18,Winter '18,Spring '18,Units,Instructor
CS 1C,Introduction to Computing at Stanford (VPTL 1),"For those with limited experience with computers or who want to learn more about Stanford's computing environment. Topics include: computer maintenance and security, computing resources, Internet privacy, and copyright law. One-hour lecture/demonstration in dormitory clusters prepared and administered weekly by the Resident Computer Consultant (RCC). Final project. Not a programming course.",Terms: Aut | Units: 1 | Grading: Satisfactory/No Credit,"Instructors: Smith, S. (PI)",TRUE,FALSE,FALSE,1 ," Smith, S. (PI)"
CS 1U,Practical Unix,"A practical introduction to using the Unix operating system with a focus on Linux command line skills. Class will consist of video tutorials and weekly hands-on lab sections. Topics include: grep and regular expressions, ZSH, Vim and Emacs, basic and advanced GDB features, permissions, working with the file system, revision control, Unix utilities, environment customization, and using Python for shell scripts. Topics may be added, given sufficient interest. Course website: http://cs1u.stanford.edu","Terms: Aut, Win, Spr | Units: 1 | Grading: Satisfactory/No Credit","Instructors: Zelenski, J. (PI)",TRUE,TRUE,TRUE,1 ," Zelenski, J. (PI)"
CS 7,Personal Finance for Engineers,"Introduction to the fundamentals and analysis specifically needed by engineers to make informed and intelligent financial decisions. Course will focus on actual industry-based financial information from technology companies and realistic financial issues. Topics include: behavioral finance, budgeting, debt, compensation, stock options, investing and real estate. No prior finance or economics experience required.",Terms: Aut | Units: 1 | Grading: Satisfactory/No Credit,"Instructors: Nash, A. (PI)",TRUE,FALSE,FALSE,1 ," Nash, A. (PI)"
CS 11SI,How to Make VR: Introduction to Virtual Reality Design and Development,"In this hands-on, experiential course, students will design and develop virtual reality applications. You'll learn how to use the Unity game engine, the most popular platform for creating immersive applications. The class will teach the design best-practices and the creation pipeline for VR applications, and will include tangents that explore sister fields such as augmented reality and 360 video. Students will work in groups to present a final project in building an application for the Oculus Go headset. Enrollment is limited and by rolling application only. Prerequisite: CS 106A or equivalent.",Terms: Aut | Units: 2 | Grading: Satisfactory/No Credit,"Instructors: Borenstein, J. (PI)",TRUE,FALSE,FALSE,2 ," Borenstein, J. (PI)"
CS 22A,The Social & Economic Impact of Artificial Intelligence (INTLPOL 200),"(Formerly IPS 200.) Recent advances in computing may place us at the threshold of a unique turning point in human history. Soon we are likely to entrust management of our environment, economy, security, infrastructure, food production, healthcare, and to a large degree even our personal activities, to artificially intelligent computer systems. The prospect of ""turning over the keys"" to increasingly autonomous systems raises many complex and troubling questions. How will society respond as versatile robots and machine-learning systems displace an ever-expanding spectrum of blue- and white-collar workers? Will the benefits of this technological revolution be broadly distributed or accrue to a lucky few? How can we ensure that these systems respect our ethical principles when they make decisions at speeds and for rationales that exceed our ability to comprehend? What, if any, legal rights and responsibilities should we grant them? And should we regard them merely as sophisticated tools or as a newly emerging form of life? The goal of CS22 is to equip students with the intellectual tools, ethical foundation, and psychological framework to successfully navigate the coming age of intelligent machines.",Terms: Win | Units: 1 | Grading: Satisfactory/No Credit,"Instructors: Kaplan, J. (PI)",FALSE,TRUE,FALSE,1 ," Kaplan, J. (PI)"
CS 43,Functional Programming Abstractions,"This course explores the philosophy and fundamentals of functional programming, with a focus on the Haskell and Clojure programming languages. Topics include: functional abstractions (function composition, higher order functions), immutable data structures, type systems, Lisp macros, homoiconicity, and monads. The course interweaves a theoretical description of fundamentals with hands-on projects in Haskell and Clojure. Prerequisites: CS107 (or equivalent experience)",Terms: Win | Units: 2 | Grading: Satisfactory/No Credit,"Instructors: Cain, J. (PI)",FALSE,TRUE,FALSE,2 ," Cain, J. (PI)"
CS 45N,Computers and Photography: From Capture to Sharing,"Preference to freshmen with experience in photography and use of computers. Elements of photography, such as lighting, focus, depth of field, aperture, and composition. How a photographer makes photos available for computer viewing, reliably stores them, organizes them, tags them, searches them, and distributes them online. No programming experience required. Digital SLRs and editing software will be provided to those students who do not wish to use their own.","Terms: Aut, Spr | Units: 3-4 | UG Reqs: WAY-CE | Grading: Letter or Credit/No Credit","Instructors: Garcia-Molina, H. (PI)",TRUE,FALSE,TRUE,3-4 ," Garcia-Molina, H. (PI)"
CS 47,Cross-Platform Mobile Development,"The fundamentals of cross-platform mobile application development using the React Native framework (RN). Primary focus on developing best practices in creating apps for both iOS and Android by using Javascript and existing web + mobile development paradigms. Students will explore the unique aspects that made RN a primary tool for mobile development within Facebook, Instagram, Airbnb, Walmart, Tesla, and UberEats. Skills developed over the course will be consolidated by the completion of a final project. Required Prerequisites: at least one of the following: CS142, CS193P, CS193A (Web/Mobile development or heavy project-based class experience).",Terms: Aut | Units: 2 | Grading: Satisfactory/No Credit,"Instructors: Landay, J. (PI)",TRUE,FALSE,FALSE,2 ," Landay, J. (PI)"
CS 49N,Using Bits to Control Atoms,"This is a crash course in how to use a stripped-down computer system about the size of a credit card (the rasberry pi computer) to control as many different sensors as we can implement in ten weeks, including LEDs, motion sensors, light controllers, and accelerometers. The ability to fearlessly grab a set of hardware devices, examine the data sheet to see how to use it, and stitch them together using simple code is a secret weapon that software-only people lack, and allows you to build many interesting gadgets. We will start with a ""bare metal'' system --- no operating system, no support --- and teach you how to read device data sheets describing sensors and write the minimal code needed to control them (including how to debug when things go wrong, as they always do). This course differs from most in that it is deliberately mostly about what and why rather than how --- our hope is that the things you are able at the end will inspire you to follow the rest of the CS curriculum to understand better how things you've used work. Prerequisites: knowledge of the C programming language. A Linux or Mac laptop that you are comfortable coding on.",Terms: Spr | Units: 3 | Grading: Letter or Credit/No Credit,"Instructors: Engler, D. (PI)",FALSE,FALSE,TRUE,3 ," Engler, D. (PI)"
CS 51,CS + Social Good Studio: Designing Social Impact Projects,"Introduces students to the tech + social good space. Students work in small teams to develop high-impact projects around problem domains provided by partner organizations, under the guidance and support of design/technical coaches from industry and non-profit domain experts. Main class components are workshops, community discussions, guest speakers and mentorship. Studio provides an outlet for students to create social change through CS while engaging in the full product development cycle on real-world projects. The class culminates in a showcase where students share their project ideas and Minimum Viable Product prototypes with stakeholders and the public. Prerequisite: CS 147, equivalent experience, or consent of instructors.",Terms: Win | Units: 2 | Grading: Satisfactory/No Credit,"Instructors: Cain, J. (PI)",FALSE,TRUE,FALSE,2 ," Cain, J. (PI)"
